"通用拼音調值標記法","通用拼音調號標記法","教育部客語拼音"
choi55,choi,choi
coi55,coi,coi
coi24,cói,coiˊ
cioi11,cioi,cioiˇ
coi11,coi,coiˇ
chok5,chok,chog
cok5,cok,cog
chok2,chọk,chogˋ
cok2,cọk,cogˋ
chon53,chòn,chonˋ
con53,còn,conˋ
chon55,chon,chon
chon11,chon,chonˇ
con33,cōn,con+
con11,con,conˇ
cong53,còng,congˋ
chong55,chong,chong
cong55,cong,cong
chong24,chóng,chongˊ
cong24,cóng,congˊ
cong33,cōng,cong+
chong33,chōng,chong+
chong11,chong,chongˇ
cong11,cong,congˇ
cong33,cōng,cong+
chot5,chot,chod
cot5,cot,cod
chiu53,chiù,chiuˋ
chu53,chù,chuˋ
co53,cò,coˋ
cu53,cù,cuˋ
chiu55,chiu,chiu
chu55,chu,chu
cu55,cu,cu
chiu24,chiú,chiuˊ
chu24,chú,chuˊ
cu24,cú,cuˊ
chiu33,chiū,chiu+
chiu11,chiu,chiuˇ
chu33,chū,chu+
chu11,chu,chuˇ
cu33,cū,cu+
cu11,cu,cuˇ
cui53,cùi,cuiˋ
chui55,chui,chui
cui24,cúi,cuiˊ
chui33,chūi,chui+
cui33,cūi,cui+
cui11,cui,cuiˇ
chuk5,chuk,chug
cuk5,cuk,cug
chuk2,chụk,chugˋ
cuk2,cụk,cugˋ
chun53,chùn,chunˋ
cun53,cùn,cunˋ
cun55,cun,cun
chun24,chún,chunˊ
cun24,cún,cunˊ
cun11,cun,cunˇ
chung53,chùng,chungˋ
cung53,cùng,cungˋ
cung55,cung,cung
chung55,chung,chung
cung55,cung,cung
chung24,chúng,chungˊ
chung33,chūng,chung+
chung11,chung,chungˇ
cung11,cung,cungˇ
chut5,chut,chud
cut5,cut,cud
cut2,cụt,cudˋ
da24,dá,daˊ
da11,da,daˇ
da55,da,da
dai53,dài,daiˋ
dai24,dái,daiˊ
dai11,dai,daiˇ
dak5,dak,dag
dak2,dạk,dagˋ
tak2,tạk,tagˋ
dam53,dàm,damˋ
dam11,dam,damˋ
dam55,dam,dam
dam24,dám,damˊ
dam11,dam,damˇ
dan53,dàn,danˋ
dan24,dán,danˊ
dan11,dan,danˇ
dang53,dàng,dangˋ
dang11,dang,dangˇ
dang55,dang,dang
dang24,dáng,dangˊ
dang11,dang,dangˇ
dap5,dap,dab
dap2,dạp,dabˋ
dat5,dat,dad
dat2,dạt,dadˋ
dau55,dau,dau
dau11,dau,dauˇ
de55,de,de
de11,de,deˇ
dem53,dèm,demˋ
dem55,dem,dem
dem24,dém,demˊ
dem11,dem,demˇ
den53,dèn,denˋ
den24,dén,denˊ
nen24,nén,nenˊ
den11,den,denˇ
dep5,dep,deb
dep2,dẹp,debˋ
det5,det,ded
det2,dẹt,dedˋ
deu53,dèu,deuˋ
deu24,déu,deuˊ
deu11,deu,deuˇ
di53,dì,diˋ
di55,di,di
di24,dí,diˊ
du11,du,duˇ
dia53,dià,diaˋ
dia11,dia,diaˇ
dia24,diá,diaˊ
dia11,dia,diaˇ
dia55,dia,dia
diak2,diạk,diagˋ
diam53,diàm,diamˋ
diam24,diám,diamˊ
diam11,diam,diamˇ
dap5,dap,dab
diap2,diạp,diabˋ
diau53,diàu,diauˋ
diau55,diau,diau
diau24,diáu,diauˊ
diau11,diau,diauˇ
dien53,dièn,dienˋ
dien24,dién,dienˊ
dien11,dien,dien
diet5,diet,died
din53,dìn,dinˋ
din55,din,din
din24,dín,dinˊ
din11,din,dinˇ
dio55,dio,dio
diok5,diok,diog
diong53,diòng,diongˋ
diong55,diong,doing
diong11,diong,diongˇ
dit5,dit,did
dit2,dịt,didˋ
diu53,diù,diuˋ
diu55,diu,diu
diu33,diū,diu+
do53,dò,doˋ
do55,do,do
do33,dō,do+
do11,do,doˇ
do24,dó,doˊ
do11,do,doˇ
doi53,dòi,doiˋ
doi55,doi,doi
doi24,dói,doiˊ
doi33,dōi,doi+
doi11,doi,doiˇ
tok5,tok,tog
dok5,dok,dog
dok2,dọk,dogˋ
don53,dòn,donˋ
don24,dón,donˊ
dong53,dòng,dongˋ
dong55,dong,dong
dong24,dóng,dongˊ
dong11,dong,dongˇ
dot5,dot,dod
du53,dù,duˋ
du55,du,du
du24,dú,duˊ
du33,dū,du+
du11,du,duˇ
du55,du,du
doi53,dòi,doiˋ
dui53,dùi,duiˋ
dui24,dúi,duiˊ
zui24,zúi,zuiˊ
dui11,dui,duiˇ
duk5,duk,dug
duk2,dụk,dugˋ
dun53,dùn,dunˋ
dun24,dún,dunˊ
dun11,dun,dunˇ
dun11,dun,dunˇ
dang53,dàng,dangˋ
dung53,dùng,dungˋ
dung55,dung,dung
dong55,dong,dong
dung24,dúng,dungˊ
dung55,dung,dung
dung11,dung,dungˇ
dut5,dut,dut
e24,é,eˊ
e11,e,eˇ
e55,e,e
e53,è,eˋ
e24,é,eˊ
er55,er,er
e55,e,e
am53,àm,amˋ
em53,èm,emˋ
em55,em,em
em24,ém,emˊ
em11,em,emˇ
en53,èn,enˋ
en24,én,enˊ
en24,én,enˊ
en11,en,enˇ
ep5,ep,eb
ep5,ep,eb
et5,et,ed
et2,ẹt,edˋ
eu53,èu,euˋ
eu55,eu,eu
eu24,éu,euˊ
eu11,eu,euˇ
fa53,fà,faˋ
fa55,fa,fa
fa33,fā,fa+
fa11,fa,faˇ
fai55,fai,fai
fai24,fái,faiˊ
fai33,fāi,fai+
fak5,fak,fag
fak2,fạk,fagˋ
fam53,fàm,famˋ
fam55,fam,fam
fam24,fám,famˊ
fam33,fām,fam+
fan53,fàn,fanˋ
fan55,fan,fan
kuan55,kuan,kuan
fan24,fán,fanˊ
fan33,fān,fan+
fan11,fan,fanˇ
pon33,pōn,pon+
fang55,fang,fang
fang24,fáng,fangˊ
fang11,fang,fangˇ
fap5,fap,fab
fat5,fat,fad
fat2,fạt,fadˋ
fe53,fè,feˋ
fe24,fé,feˊ
fen53,fèn,fenˋ
fen55,fen,fen
fet2,fẹt,fedˋ
feu55,feu,feu
po55,po,po
feu24,féu,feuˊ
fi53,fì,fiˋ
fui53,fùi,fuiˋ
fui55,fui,fui
fui24,fúi,fuiˊ
fui33,fūi,fui+
fui33,fūi,fui+
fui11,fui,fuiˇ
fin55,fin,fin
hiun55,hiun,hiun
fin11,fin,finˇ
fit5,fit,fid
fit2,fịt,fidˋ
fiu55,fiu,fiu
fiu24,fiú,fiuˊ
fiu11,fiu,fiuˇ
fo55,fo,fo
fo24,fó,foˊ
fo11,fo,foˇ
ho33,hō,ho+
foi53,fòi,foiˋ
fok5,fok,fog
fok2,fọk,fogˋ
fon53,fòn,fonˋ
fon24,fón,fonˊ
fon24,fón,fonˊ
fon11,fon,fonˇ
fong53,fòng,fongˋ
fong55,fong,fong
fong24,fóng,fongˊ
fong11,fong,fongˇ
fu53,fù,fuˋ
fu55,fu,fu
fu24,fú,fuˊ
fu33,fū,fu+
fu11,fu,fuˇ
fuk5,fuk,fug
fuk2,fụk,fugˋ
fun53,fùn,funˋ
fun55,fun,fun
fun24,fún,funˊ
fun33,fūn,fun+
fung53,fùng,fungˋ
fung55,fung,fung
fung24,fúng,fungˊ
fung33,fūng,fung+
fut5,fut,fud
fut2,fụt,fudˋ
ga53,gà,gaˋ
ga24,gá,gaˊ
ga55,ga,ga
ga33,gā,ga+
ga24,gá,gaˊ
ga11,ga,gaˇ
gai55,gai,gai
gak5,gak,gag
gam53,gàm,gamˋ
gam24,gám,gamˊ
gam33,gām,gam+
gam53,gàm,gamˋ
gan53,gàn,ganˋ
gang53,gàng,gangˋ
gang24,gáng,gangˊ
gang11,gang,gangˇ
gap5,gap,gab
kap5,kap,kab
gap2,gạp,gabˋ
gat5,gat,gad
gat2,gạt,gadˋ
gau53,gàu,gauˋ
go53,gò,goˋ
gau55,gau,gau
gau24,gáu,gauˊ
gau11,gau,gauˇ
gau55,gau,gau
gai11,gai,gaiˇ
gai55,gai,gai
ggo11,ggo,ggoˇ
gi53,gì,giˋ
gi24,gí,giˊ
gi11,gi,giˇ
gia53,gìa,giaˋ
gia53,gìa,giaˋ
gia11,gia,giaˇ
gai53,gài,gaiˋ
gai24,gái,gaiˊ
gai11,gai,gaiˇ
giak5,giak,giag
giam53,giàm,giamˋ
giam55,giam,giam
giam24,giám,giamˊ
giam11,giam,giamˇ
gien53,gièn,gienˋ
gien55,gien,gien
gien24,gién,gienˊ
gien33,giēn,gien+
gien11,gien,gienˇ
giang53,giàng,giangˋ
giang55,giang,giang
giang24,giáng,giangˊ
giang11,giang,giangˇ
gap5,gap,gab
giap5,giap,giab
giap2,giạp,giabˋ
giet5,giet,gied
giau53,giàu,giauˋ
giau24,giáu,giauˊ
giau11,giau,giauˇ
gai53,gài,gaiˋ
gie53,giè,gieˋ
gie55,gie,gie
goi55,goi,goi
gai24,gái,gaiˊ
gie24,gié,gieˊ
ga11,ga,gaˇ
gai11,gai,gaiˇ
gie55,gie,gie
gie11,gie,gieˇ
giem55,giem,giem
giem11,giem,giemˇ
gan53,gàn,ganˋ
gien53,gièn,gienˋ
gien55,gien,gien
gan24,gán,ganˊ
gien24,gién,gienˊ
gien33,giēn,gien+
gien11,gien,gienˇ
giep2,giẹp,giebˋ
giet5,giet,gied
giau53,giàu,giauˋ
giau24,giáu,giauˊ
gieu11,gieu,gieuˇ
gieu53,gièu,gieuˋ
giau24,giáu,giauˊ
gieu24,giéu,gieuˊ
giau11,giau,giauˇ
gieu11,gieu,gieuˇ
gim53,gìm,gimˋ
gim24,gím,gimˊ
gim11,gim,gimˇ
gin53,gìn,ginˋ
gin24,gín,ginˊ
gin11,gin,ginˇ
gio53,giò,gioˋ
giok5,giok,giog
giong53,giòng,giongˋ
giong24,gióng,giongˊ
gip5,gip,gib
git5,git,gid
git2,gịt,gidˋ
giu53,giù,giuˋ
giu55,giu,giu
giu55,giu,giu
giu24,giú,giuˊ
giu11,giu,giuˇ
giuk5,giuk,giug
giuk2,giụk,giugˋ
giun53,giùn,giunˋ
giun11,giun,giunˇ
giung53,giùng,giungˋ
giung24,giúng,giungˊ
giung11,giung,giungˇ
go53,gò,goˋ
go55,go,go
go24,gó,goˊ
go11,go,goˇ
go11,go,goˇ
goi53,gòi,goiˋ
goi55,goi,goi
goi11,goi,goiˇ
gok5,gok,gog
gok5,gok,gog
gok2,gọk,gogˋ
gon53,gòn,gonˋ
gon24,gón,gonˊ
gon11,gon,gonˇ
gong53,gòng,gongˋ
gong55,gong,gong
gong24,góng,gongˊ
gong11,gong,gongˇ
got5,got,god
gu53,gù,guˋ
ku53,kù,kuˋ
ku55,ku,ku
gu55,gu,gu
gu11,gu,guˇ
gu55,gu,gu
gu24,gú,guˊ
gu55,gu,gu
gu11,gu,guˇ
gua53,guà,guaˋ
gua55,gua,gua
gua33,guā,gua+
gua24,guá,guaˊ
gua55,gua,gua
gua11,gua,guaˇ
guai53,guài,guaiˋ
guai24,guái,guaiˊ
guai11,guai,guaiˇ
guak2,guạk,guagˋ
gon53,gòn,gonˋ
guan53,guàn,guanˋ
guan11,guan,guanˇ
guang53,guàng,guangˋ
guang55,guang,guang
guang24,guáng,guangˊ
guat5,guat,guad
guat2,guạt,guadˋ
guen53,guèn,guenˋ
guen24,guén,guenˊ
guen11,guen,guenˇ
guet5,guet,gued
guet2,guẹt,guedˋ
gui53,gùi,guiˋ
gui24,gúi,guiˊ
gui11,gui,guiˇ
guk5,guk,gug
gun53,gùn,gunˋ
gun11,gun,gunˇ
gung53,gùng,gungˋ
gung24,gúng,gungˊ
gung53,gùng,gungˋ
gung11,gung,gungˇ
gut5,gut,gud
gut2,gụt,gudˋ
ha24,há,haˊ
ha53,hà,haˋ
ha55,ha,ha
ha24,há,haˊ
ha11,ha,haˇ
hai24,hái,haiˊ
hai53,hài,haiˋ
hai55,hai,hai
hai24,hái,haiˊ
hai53,hài,haiˋ
hai33,hāi,hai+
hai11,hai,haiˇ
hain55,hain,
hak5,hak,hag
hak2,hạk,hagˋ
ham53,hàm,hamˋ
ham55,ham,ham
ham24,hám,hamˊ
ham33,hām,ham+
ham11,ham,hamˇ
han24,hán,hanˊ
han55,han,han
han24,hán,hanˊ
han33,hān,han+
hang53,hàng,hangˋ
hang55,hang,hang
hang11,hang,hangˇ
hap5,hap,hab
hap2,hạp,habˋ
hat5,hat,had
hat5,hat,had
hau53,hàu,hauˋ
hau55,hau,hau
hau55,hau,hau
hau24,háu,hauˊ
hau11,hau,hauˇ
he53,hè,heˋ
he53,hè,heˋ
he11,he,heˇ
hem53,hèm,hemˋ
hem55,hem,hem
hem11,hem,hemˇ
hen53,hèn,henˋ
hen24,hén,henˊ
hen55,hen,hen
hen24,hén,henˊ
hen33,hēn,hen+
het5,het,hed
het2,hẹt,hedˋ
heu33,hēu,heu+
heu55,heu,heu
heu24,héu,heuˊ
heu33,hēu,heu+
hi53,hì,hiˋ
hi33,hī,hi+
hí24,hí,hiˊ
hi11,hi,hiˇ
hia53,hià,hiaˋ
hiak5,hiak,hiak
hiam53,hiàm,hiamˋ
hiam55,hiam,hiam
hiam24,hiám,hiamˊ
hiam11,hiam,hiamˇ
hien53,hièn,hienˋ
hien55,hien,hien
hien24,hién,hienˊ
hien33,hiēn,hien+
hien11,hien,hienˇ
hiap5,hiap,hiab
hiap2,hiạp,hiabˋ
hiat5,hiat,hiad
hiat2,hiạt,hiadˋ
hiau24,hiáu,hiauˊ
hien53,hièn,hienˋ
hien55,hien,hien
hien24,hién,hienˊ
hien33,hiēn,hien+
hien11,hien,hienˇ
hiat5,hiat,hiad
hiat2,hiạt,hiadˋ
hiau53,hiàu,hiauˋ
hiau55,hiau,hiau
hiau11,hiau,hiauˇ
kiau11,kiau,kiauˇ
him53,hìm,himˋ
him55,him,him
him24,hím,himˊ
hin53,hìn,hinˋ
hin55,hin,hin
hin24,hín,hinˊ
hin33,hīn,hin+
hin11,hin,hinˇ
hio53,hiò,hioˋ
hio55,hio,hio
hio11,hio,hioˇ
hiok5,hiok,hiok
hiong53,hiòng,hiongˋ
hiong24,hióng,hiongˊ
hiong11,hiong,hiongˇ
hip5,hip,hip
hit5,hit,hit
hit2,hịt,hitˋ
hiu53,hiù,hiuˋ
hiu24,hiú,hiuˊ
hiu53,hiù,hiuˋ
hiu11,hiu,hiuˇ
hiu55,hiu,hiu
hiuk5,hiuk,hiuk
hiun53,hiùn,hiunˋ
hiun55,hiun,hiun
hiun24,hiún,hiunˊ
hiun11,hiun,hiunˇ
hiung53,hiùng,hiungˋ
hiung55,hiung,hiung
hiung24,hiúng,hiungˊ
hn24,h́n,
hn53,h̀n,
hin55,hin,
ho53,hò,hoˋ
ho24,hó,hoˊ
ho55,ho,ho
ho33,hō,ho+
ho24,hó,hoˊ
ho53,hò,hoˋ
ho33,hō,ho+
ho11,ho,hoˇ
hoi55,hoi,hoi
hoi24,hói,hoiˊ
hoi55,hoi,hoi
hoi33,hōi,hoi+
hok5,hok,hok
hok2,họk,hogˋ
hon53,hòn,honˋ
hon55,hon,hon
hon24,hón,honˊ
hon33,hōn,hon+
hon11,hon,honˇ
hong53,hòng,hongˋ
hong55,hong,hong
hong24,hóng,hongˊ
hong33,hōng,hong+
hong11,hong,hongˇ
hot5,hot,hot
i24,í,iˊ
i53,ì,iˋ
i55,i,i
ia11,ia,iaˇ
lia24,liá,liaˊ
iau53,iàu,iauˋ
iaun55,iaun,
io24,ió,ioˊ
io53,iò,ioˋ
io55,io,io
ka53,kà,kaˋ
ka55,ka,ka
giok5,giok,giog
ka33,kā,ka+
ka24,ká,kaˊ
ha11,ha,haˇ
ka55,ka,ka
kai53,kài,kaiˋ
kai55,kai,kai
kak5,kak,kag
kak5,kak,kag
kak2,kạk,kagˋ
kam53,kàm,kamˋ
kam55,kam,kam
kam24,kám,kamˊ
kam11,kam,kamˇ
kan53,kàn,kanˋ
kan24,kán,kanˊ
kuan11,kuān,kuan33
kang11,kang,kangˇ
kap5,kap,kab
kap2,kạp,kabˋ
kat5,kat,kad
kau53,kàu,kauˋ
kau55,kau,kau
kau24,káu,kauˊ
kiau24,kiáu,kiauˊ
kau11,kau,kauˇ
ki53,kì,kiˋ
ki55,ki,ki
ki33,kī,ki+
ki24,kí,kiˊ
ki33,kī,ki+
ki55,ki,ki
ki11,ki,kiˇ
kia53,kià,kiaˋ
ga53,gà,gaˋ
kia55,kia,kia
kia11,kia,kiaˇ
kia53,kià,kiaˋ
kiak5,kiak,kiag
kiak2,kiạk,kiagˋ
kiam53,kiàm,kiamˋ
kiam55,kiam,kiam
kiam24,kiám,kiamˊ
kiam33,kiām,kiam+
kiam11,kiam,kiamˇ
kien53,kièn,kienˋ
kien55,kien,kien
kien24,kién,kienˊ
kien33,kiēn,kien+
kien11,kien,kienˇ
kiang53,kiàng,kiàngˋ
kiang33,kiāng,kiang+
kiang11,kiang,kiangˇ
kiap5,kiap,kiab
kiap2,kiạp,kiabˋ
